quotation_id,rep_id,customer_tier,n_lines_raw,blended_overage_pct,worst_line_overage_pct,n_lines,n_flagged_lines,flagged_value_share,log_total_value,thin_margin_value_share,tier_ordinal,avg_discount_pct,max_discount_pct,seniority,is_quarter_end,discount_vs_rep_baseline,latent_risk,risk_label
Q-00001,REP-03,Bronze,1,1.43,1.43,1.0,1.0,1.0,3.931826,0.0,0.0,6.43,6.43,2.0,0.0,2.151164,0.1583,0
Q-00002,REP-08,Silver,2,0.0,0.0,2.0,0.0,0.0,10.282643,0.975359,1.0,8.929405,9.06,0.0,0.0,-0.758992,0.5599,0
Q-00003,REP-05,Gold,5,0.0,0.0,5.0,0.0,0.0,10.950824,0.331579,2.0,7.886821,12.89,2.0,0.0,4.074043,0.0,0
Q-00004,REP-01,Bronze,2,3.187571,3.72,2.0,1.0,0.856874,10.369138,0.0,0.0,7.585009,8.72,0.0,1.0,2.009162,2.4635,2
Q-00005,REP-08,Bronze,4,2.97262,6.29,4.0,4.0,1.0,11.005776,0.988044,0.0,7.97262,11.29,0.0,1.0,-1.715776,4.653,2
Q-00006,REP-08,Silver,5,3.822652,6.41,5.0,2.0,0.6814,12.000898,0.764273,1.0,12.628048,16.41,0.0,0.0,2.939652,5.474,2
Q-00007,REP-04,Bronze,3,1.991228,4.54,3.0,1.0,0.438596,10.44001,0.719298,0.0,5.655088,9.54,0.0,0.0,-0.138908,2.8526,2
Q-00008,REP-02,Silver,6,0.0,0.0,6.0,0.0,0.0,12.023657,0.754275,1.0,5.004905,7.3,0.0,0.0,-1.185074,1.5836,1
Q-00009,REP-04,Silver,4,0.306799,1.59,4.0,2.0,0.211221,12.110668,0.026403,1.0,7.676436,11.59,0.0,1.0,1.88244,2.0687,2
Q-00010,REP-02,Silver,3,0.0,0.0,3.0,0.0,0.0,10.332051,0.726384,1.0,5.733974,7.31,0.0,0.0,-0.456006,0.4353,0
Q-00011,REP-03,Bronze,5,0.258658,3.13,5.0,2.0,0.416107,11.400887,0.322148,0.0,3.178523,8.13,2.0,1.0,-1.100313,1.2957,1
Q-00012,REP-08,Bronze,4,6.312029,7.09,4.0,4.0,1.0,10.63106,0.26087,0.0,11.312029,12.09,0.0,0.0,1.623633,4.4813,2
Q-00013,REP-03,Bronze,5,0.744402,2.23,5.0,2.0,0.354918,11.711785,0.406557,0.0,3.245262,7.23,2.0,0.0,-1.033574,1.5109,1
Q-00014,REP-05,Silver,6,0.026607,0.7,6.0,1.0,0.03801,12.269522,0.648053,1.0,2.510136,10.7,2.0,0.0,-1.302642,1.4116,1
Q-00015,REP-03,Bronze,4,0.860187,7.85,4.0,1.0,0.109578,11.210752,0.150162,0.0,4.87487,12.85,2.0,0.0,0.596034,1.6846,1
Q-00016,REP-07,Silver,6,0.251968,2.99,6.0,3.0,0.201541,10.952752,0.644371,1.0,8.20245,12.99,1.0,1.0,-0.943593,1.2862,1
Q-00017,REP-06,Gold,4,0.0,0.0,4.0,0.0,0.0,12.186997,0.493324,2.0,6.945215,9.06,2.0,0.0,0.823753,0.8665,1
Q-00018,REP-01,Silver,2,0.0,0.0,2.0,0.0,0.0,10.555839,0.015625,1.0,3.996875,6.95,0.0,0.0,-1.578972,0.1086,0
Q-00019,REP-03,Silver,1,0.0,0.0,1.0,0.0,0.0,10.778977,1.0,1.0,8.43,8.43,2.0,0.0,4.151164,0.13,0
Q-00020,REP-02,Silver,2,3.252096,3.26,2.0,1.0,0.997575,11.186863,0.997575,1.0,13.231874,13.26,0.0,0.0,7.041894,4.0205,2
Q-00021,REP-06,Silver,5,0.0,0.0,5.0,0.0,0.0,11.62827,0.602361,1.0,4.870929,9.38,2.0,0.0,-1.250533,0.4465,0
Q-00022,REP-05,Bronze,3,0.0,0.0,3.0,0.0,0.0,9.021719,0.217391,0.0,2.397826,3.49,2.0,0.0,-1.414952,0.0,0
Q-00023,REP-04,Silver,2,0.0,0.0,2.0,0.0,0.0,9.200391,0.636364,1.0,7.886364,8.93,0.0,1.0,2.092368,0.6625,0
Q-00024,REP-07,Silver,4,0.395493,0.78,4.0,1.0,0.507042,11.03692,0.038632,1.0,9.304994,10.78,1.0,1.0,0.158951,0.7209,0
Q-00025,REP-08,Silver,3,0.049444,0.89,3.0,1.0,0.055556,10.791399,0.703704,1.0,5.785741,10.89,0.0,0.0,-3.902655,0.7115,1
Q-00026,REP-05,Silver,2,0.0,0.0,2.0,0.0,0.0,8.92079,0.921844,1.0,0.82489,2.18,2.0,0.0,-2.987888,0.0,0
Q-00027,REP-06,Silver,2,0.0,0.0,2.0,0.0,0.0,8.728426,0.923077,1.0,4.470769,6.76,2.0,0.0,-1.650692,0.0,0
Q-00028,REP-07,Silver,2,0.0,0.0,2.0,0.0,0.0,7.972811,0.931034,1.0,5.917931,6.1,1.0,0.0,-3.228112,0.0162,0
Q-00029,REP-06,Silver,4,0.0,0.0,4.0,0.0,0.0,11.34983,0.634491,1.0,4.950135,7.93,2.0,0.0,-1.171326,0.2369,0
Q-00030,REP-07,Bronze,3,4.101111,4.69,3.0,3.0,1.0,10.098273,0.148148,0.0,9.101111,9.69,1.0,0.0,-0.044932,2.5142,2
Q-00031,REP-04,Gold,2,0.0,0.0,2.0,0.0,0.0,9.980495,0.25,2.0,9.325,9.85,0.0,0.0,3.531004,0.0,0
Q-00032,REP-02,Gold,2,0.0,0.0,2.0,0.0,0.0,11.091346,0.579268,2.0,3.808537,3.96,0.0,1.0,-2.381443,0.8753,0
Q-00033,REP-04,Bronze,3,0.981368,2.97,3.0,2.0,0.455412,11.386693,0.544588,0.0,4.451076,7.97,0.0,0.0,-1.34292,1.7729,1
Q-00034,REP-07,Gold,6,0.0,0.0,6.0,0.0,0.0,11.30129,0.643806,2.0,7.270417,11.74,1.0,1.0,-1.875626,0.7385,0
Q-00035,REP-06,Bronze,4,2.238465,4.13,4.0,3.0,0.971705,9.962039,0.782834,0.0,7.225449,9.13,2.0,1.0,1.103988,2.5521,2
Q-00036,REP-02,Bronze,2,1.347368,2.56,2.0,1.0,0.526316,10.727685,1.0,0.0,4.822105,7.56,0.0,0.0,-1.367875,2.3434,2
Q-00037,REP-05,Bronze,2,0.0,0.0,2.0,0.0,0.0,11.759793,1.0,0.0,1.23625,2.07,2.0,0.0,-2.576528,1.0167,1
Q-00038,REP-05,Gold,2,0.0,0.0,2.0,0.0,0.0,9.010791,0.0,2.0,5.103956,5.16,2.0,0.0,1.291178,0.0,0
Q-00039,REP-08,Bronze,2,9.988571,12.6,2.0,2.0,1.0,9.036106,0.571429,0.0,14.988571,17.6,0.0,1.0,5.300175,8.3427,2
Q-00040,REP-02,Silver,2,0.0,0.0,2.0,0.0,0.0,10.835671,1.0,1.0,4.971102,5.02,0.0,0.0,-1.218878,0.7533,0
Q-00041,REP-07,Silver,5,0.082313,0.65,5.0,1.0,0.126636,11.459113,0.717602,1.0,9.185015,10.65,1.0,0.0,0.038972,0.805,0
Q-00042,REP-05,Silver,3,0.0,0.0,3.0,0.0,0.0,10.818598,0.378454,1.0,0.560112,1.48,2.0,0.0,-3.252666,0.0,0
Q-00043,REP-03,Bronze,2,2.799231,3.83,2.0,2.0,1.0,11.264477,1.0,0.0,7.799231,8.83,2.0,1.0,3.520395,3.8227,2
Q-00044,REP-08,Silver,5,4.17578,4.72,5.0,3.0,0.902577,11.392857,0.902069,1.0,13.576301,14.72,0.0,0.0,3.887905,5.0418,2
Q-00045,REP-07,Silver,1,0.0,0.0,1.0,0.0,0.0,6.447306,0.0,1.0,9.62,9.62,1.0,0.0,0.473957,0.0,0
Q-00046,REP-08,Bronze,4,1.09741,4.47,4.0,4.0,1.0,11.229249,0.258964,0.0,6.09741,9.47,0.0,0.0,-3.590986,1.8541,1
Q-00047,REP-01,Bronze,5,5.31525,11.05,5.0,3.0,0.645873,11.554077,0.047025,0.0,8.845192,16.05,0.0,0.0,3.269345,4.3573,2
Q-00048,REP-05,Silver,3,0.0,0.0,3.0,0.0,0.0,10.929547,0.241935,1.0,1.406935,1.99,2.0,0.0,-2.405842,0.0,0
Q-00049,REP-05,Gold,2,0.0,0.0,2.0,0.0,0.0,10.471667,1.0,2.0,6.345609,6.67,2.0,0.0,2.532831,0.0,0
Q-00050,REP-07,Silver,2,0.0,0.0,2.0,0.0,0.0,11.626263,0.071429,1.0,7.706429,7.76,1.0,0.0,-1.439614,0.4526,0
Q-00051,REP-07,Gold,4,0.0,0.0,4.0,0.0,0.0,10.470249,0.042553,2.0,6.724851,8.19,1.0,0.0,-2.421192,0.0,0
Q-00052,REP-02,Silver,2,0.0,0.0,2.0,0.0,0.0,11.188247,0.996195,1.0,2.590412,2.6,0.0,0.0,-3.599568,0.9302,0
Q-00053,REP-08,Gold,1,0.0,0.0,1.0,0.0,0.0,9.105091,1.0,2.0,5.39,5.39,0.0,1.0,-4.298396,0.635,1
Q-00054,REP-07,Gold,4,0.0,0.0,4.0,0.0,0.0,10.55818,0.0,2.0,7.903141,8.4,1.0,0.0,-1.242902,0.0,0
Q-00055,REP-02,Silver,4,0.0,0.0,4.0,0.0,0.0,11.995666,0.185128,1.0,3.875338,6.75,0.0,0.0,-2.314642,1.2322,1
Q-00056,REP-05,Silver,6,2.787997,9.57,6.0,1.0,0.291327,12.101884,0.038289,1.0,7.708652,19.57,2.0,0.0,3.895874,2.9265,2
Q-00057,REP-04,Silver,4,0.579344,5.89,4.0,1.0,0.098361,9.814711,0.655738,1.0,7.637377,15.89,0.0,0.0,1.843381,1.4277,1
Q-00058,REP-06,Silver,5,0.654627,1.4,5.0,2.0,0.93486,11.288606,0.048808,1.0,10.547242,11.4,2.0,0.0,4.425781,0.3017,0
Q-00059,REP-05,Silver,6,0.216643,4.41,6.0,2.0,0.065541,12.213053,0.274081,1.0,3.981892,14.41,2.0,0.0,0.169114,1.5852,1
Q-00060,REP-07,Silver,5,0.0,0.0,5.0,0.0,0.0,11.488643,0.494877,1.0,8.213576,9.08,1.0,0.0,-0.932467,0.5655,0
Q-00061,REP-08,Bronze,3,5.47019,6.05,3.0,3.0,1.0,9.158626,0.56872,0.0,10.47019,11.05,0.0,1.0,0.781793,5.25,2
Q-00062,REP-03,Gold,2,0.0,0.0,2.0,0.0,0.0,8.444838,0.516129,2.0,8.171613,9.72,2.0,0.0,3.892777,0.0,0
Q-00063,REP-05,Bronze,3,2.145,7.02,3.0,1.0,0.305556,11.772216,0.37037,0.0,5.171389,12.02,2.0,0.0,1.358611,2.3568,1
