basket_id,product_ids
B-00001,DOCK-01|LAPTOP-01|SETUP-01|SUPPORT-01
B-00002,MONITOR-01
B-00003,RACK-01|SERVER-01|SETUP-01|SUPPORT-01
B-00004,SETUP-01|SUPPORT-01|TRAINING-01
B-00005,CABLE-01|DOCK-01|MONITOR-01
B-00006,SETUP-01
B-00007,CABLE-01|LAPTOP-01|MONITOR-01|MOUSE-01
B-00008,SETUP-01
B-00009,DOCK-01|MONITOR-01
B-00010,DOCK-01|LAPTOP-01|MOUSE-01
B-00011,INSTALL-01|RACK-01|SERVER-01|SUPPORT-01
B-00012,LAPTOP-01
B-00013,LAPTOP-02|SERVER-01|SUPPORT-01|WARRANTY-01
B-00014,SETUP-01
B-00015,DOCK-01|LAPTOP-02|MONITOR-01|WARRANTY-01
B-00016,CLOUD-01|INSTALL-01|RACK-01|SERVER-01|SUPPORT-01
B-00017,MOUSE-01|SETUP-01
B-00018,CABLE-01|MONITOR-01
B-00019,CABLE-01|INSTALL-01|LAPTOP-01|MOUSE-01|RACK-01|SERVER-01
B-00020,DOCK-01|LAPTOP-02|MONITOR-01
B-00021,INSTALL-01|SERVER-01|SUPPORT-01
B-00022,MONITOR-01
B-00023,MONITOR-01
B-00024,SETUP-01
B-00025,LAPTOP-02|MONITOR-01|WARRANTY-01
B-00026,DOCK-01|LAPTOP-02|MONITOR-01
B-00027,CABLE-01|DOCK-01|MONITOR-01
B-00028,CABLE-01|LAPTOP-01|MOUSE-01
B-00029,CABLE-01|MONITOR-01
B-00030,CABLE-01|LAPTOP-01|MOUSE-01|SETUP-01|WARRANTY-01
B-00031,SETUP-01
B-00032,SETUP-01|SUPPORT-01|TRAINING-01
B-00033,SETUP-01|SUPPORT-01|TRAINING-01
B-00034,CABLE-01|MONITOR-01|SETUP-01
B-00035,INSTALL-01|RACK-01|SERVER-01|SUPPORT-01
B-00036,DOCK-01|LAPTOP-01|MONITOR-01|MOUSE-01
B-00037,CABLE-01|MONITOR-01
B-00038,CLOUD-01|DOCK-01|INSTALL-01|LAPTOP-02|RACK-01|SERVER-01|TRAINING-01
B-00039,DOCK-01|LAPTOP-01
B-00040,SETUP-01|SUPPORT-01|TRAINING-01
B-00041,SETUP-01
B-00042,RACK-01|SERVER-01|SUPPORT-01
B-00043,LAPTOP-02|SETUP-01|SUPPORT-01|TRAINING-01
B-00044,INSTALL-01|RACK-01|SERVER-01
B-00045,CLOUD-01|DOCK-01|LAPTOP-01|LAPTOP-02|RACK-01|SERVER-01|SUPPORT-01
B-00046,LAPTOP-02|MONITOR-01|SUPPORT-01
B-00047,SETUP-01|SUPPORT-01|TRAINING-01
B-00048,CABLE-01|DOCK-01|LAPTOP-01|MOUSE-01|RACK-01|WARRANTY-01
B-00049,CABLE-01|MONITOR-01
B-00050,CABLE-01|DOCK-01|MONITOR-01
B-00051,CLOUD-01|INSTALL-01|RACK-01|SERVER-01|SUPPORT-01
B-00052,DOCK-01|LAPTOP-01|MOUSE-01|WARRANTY-01
B-00053,LAPTOP-01|MOUSE-01|WARRANTY-01
B-00054,SERVER-01
B-00055,CABLE-01|DOCK-01|LAPTOP-01|WARRANTY-01
B-00056,SETUP-01|TRAINING-01
B-00057,DOCK-01|LAPTOP-02|MONITOR-01|TRAINING-01
B-00058,CABLE-01|DOCK-01|LAPTOP-01|SERVER-01
B-00059,LAPTOP-01|MOUSE-01|WARRANTY-01
B-00060,CABLE-01|DOCK-01|LAPTOP-01|MOUSE-01
B-00061,MONITOR-01
B-00062,RACK-01|SERVER-01|SUPPORT-01
B-00063,RACK-01|SERVER-01
B-00064,SETUP-01
B-00065,DOCK-01|LAPTOP-01|MOUSE-01|SETUP-01|WARRANTY-01
B-00066,CABLE-01|DOCK-01|LAPTOP-01
B-00067,CABLE-01|DOCK-01|MONITOR-01
B-00068,CABLE-01|DOCK-01|MONITOR-01
B-00069,CLOUD-01|INSTALL-01|RACK-01|SERVER-01|SUPPORT-01
B-00070,CLOUD-01|INSTALL-01|SERVER-01|SETUP-01|SUPPORT-01|TRAINING-01
B-00071,SETUP-01
B-00072,MONITOR-01
B-00073,RACK-01|SERVER-01
B-00074,CLOUD-01|DOCK-01|LAPTOP-01|MOUSE-01
B-00075,RACK-01|SETUP-01|SUPPORT-01
B-00076,LAPTOP-02|TRAINING-01
B-00077,DOCK-01|LAPTOP-01|MOUSE-01|SETUP-01
B-00078,DOCK-01|LAPTOP-01
B-00079,CLOUD-01|RACK-01|SERVER-01|SUPPORT-01
B-00080,SETUP-01
B-00081,DOCK-01|LAPTOP-01|SETUP-01
B-00082,CLOUD-01|RACK-01|SERVER-01
B-00083,CLOUD-01|INSTALL-01|SERVER-01|SUPPORT-01
B-00084,CABLE-01|DOCK-01|LAPTOP-02|MONITOR-01|TRAINING-01|WARRANTY-01
B-00085,CABLE-01|DOCK-01|LAPTOP-01|MOUSE-01|WARRANTY-01
B-00086,SETUP-01|TRAINING-01
B-00087,CLOUD-01|SERVER-01
B-00088,SETUP-01|SUPPORT-01
B-00089,CABLE-01|MONITOR-01
B-00090,SETUP-01|TRAINING-01
B-00091,INSTALL-01|RACK-01|SERVER-01|SUPPORT-01
B-00092,LAPTOP-02|RACK-01|SERVER-01|SUPPORT-01
B-00093,INSTALL-01|RACK-01|SERVER-01|SUPPORT-01
B-00094,SETUP-01|TRAINING-01
B-00095,DOCK-01|MONITOR-01
B-00096,CLOUD-01|INSTALL-01|RACK-01|SERVER-01
B-00097,DOCK-01|MONITOR-01|RACK-01
B-00098,CABLE-01|CLOUD-01|DOCK-01|LAPTOP-01|MOUSE-01
B-00099,DOCK-01|LAPTOP-01|MOUSE-01|SUPPORT-01|WARRANTY-01
B-00100,MONITOR-01
